Rank,Symbol,Tier,Category,FinalScore,Rating,TechnicalScore,CatalystScore,RelativeStrengthScore,Close,MA20,MA50,MA200,RelativeVolume,Return3M,SPYReturn3M,RelativeStrength3M,EarningsDate,DaysUntilEarnings,EarningsWithin14Days,Volume,AsOf,Status,CrossedMA50,CrossedMA200,Made52WeekHigh
1,APLD,Tier 4: Small-Cap Speculative Growth,Other,86.4,Buy Candidate,89.7,8.0,92.6,45.57,44.65,39.18,31.06,1.18,70.99,12.02,58.97,,,False,26946000.0,2026-06-17,OK,False,False,False
2,AMD,Tier 1: Core Compounders,Semiconductors,86.1,Buy Candidate,85.7,8.0,99.3,512.48,497.37,404.94,259.28,0.86,156.93,12.02,144.91,,,False,26981000.0,2026-06-17,OK,False,False,False
3,FTNT,Tier 2: Growth Leaders,Cybersecurity,82.7,Buy Candidate,89.9,7.0,93.9,144.14,140.6,112.83,89.56,1.19,72.85,12.02,60.83,,,False,7646800.0,2026-06-17,OK,False,False,False
4,AMAT,Tier 1: Core Compounders,Semiconductors,82.5,Buy Candidate,90.6,7.0,91.2,592.92,492.41,441.04,315.52,1.25,69.66,12.02,57.64,,,False,11022700.0,2026-06-17,OK,False,False,False
5,KLAC,Tier 1: Core Compounders,Semiconductors,81.0,Buy Candidate,88.9,7.0,87.2,238.73,211.07,191.88,143.53,1.11,61.05,12.02,49.02,,,False,13203100.0,2026-06-17,OK,False,False,False
6,SMH,Tier 5: ETFs,ETFs,80.0,Buy Candidate,87.1,7.0,85.8,623.97,602.85,542.85,409.34,0.97,58.5,12.02,46.48,,,False,10632500.0,2026-06-17,OK,False,False,False
7,IRDM,Tier 3: Space & Frontier Tech,Adjacent,79.8,Buy Candidate,72.1,8.0,94.6,45.05,47.98,43.07,25.97,0.96,76.53,12.02,64.5,,,False,2582900.0,2026-06-17,OK,False,False,False
8,ARM,Tier 1: Core Compounders,Semiconductors,78.4,Buy Candidate,85.9,6.0,100.0,418.88,353.16,258.72,166.3,0.87,226.33,12.02,214.31,,,False,11604000.0,2026-06-17,OK,False,False,False
9,TJX,Tier 1: Core Compounders,Consumer,78.4,Buy Candidate,84.0,9.0,43.9,164.13,160.55,157.78,152.25,0.72,7.37,12.02,-4.66,,,False,4496800.0,2026-06-17,OK,False,False,False
10,CRWD,Tier 2: Growth Leaders,Software & AI,75.9,Buy Candidate,67.3,8.0,85.1,682.96,687.53,560.39,488.05,0.59,56.71,12.02,44.69,,,False,2095400.0,2026-06-17,OK,False,False,False
11,QCOM,Tier 1: Core Compounders,Semiconductors,72.4,Watch,67.0,7.0,87.8,212.97,224.29,189.46,166.48,0.56,63.23,12.02,51.21,,,False,11919900.0,2026-06-17,OK,False,False,False
12,SATL,Tier 3: Space & Frontier Tech,Space & Frontier Tech,70.3,Watch,47.5,8.0,96.6,6.17,8.16,7.69,4.25,0.6,108.45,12.02,96.42,,,False,6167300.0,2026-06-17,OK,False,False,False
