run_date,symbol,rank,final_score,rating
2026-06-18,APLD,1,86.4,Buy Candidate
2026-06-18,AMD,2,86.1,Buy Candidate
2026-06-18,FTNT,3,82.7,Buy Candidate
2026-06-18,AMAT,4,82.5,Buy Candidate
2026-06-18,KLAC,5,81.0,Buy Candidate
2026-06-18,SMH,6,80.0,Buy Candidate
2026-06-18,IRDM,7,79.8,Buy Candidate
2026-06-18,ARM,8,78.4,Buy Candidate
2026-06-18,TJX,9,78.4,Buy Candidate
2026-06-18,CRWD,10,75.9,Buy Candidate
2026-06-18,QCOM,11,72.4,Watch
2026-06-18,SATL,12,70.3,Watch
2026-06-18,HIMS,13,67.5,Watch
2026-06-18,RTX,14,65.4,Watch
2026-06-18,MDA,15,63.0,Watch
2026-06-18,NET,16,61.8,Watch
2026-06-18,AI,17,56.9,Watch
2026-06-18,SOFI,18,56.6,Watch
2026-06-18,GTLB,19,56.2,Watch
2026-06-18,HUT,20,55.4,Watch
2026-06-18,NVO,21,55.0,Watch
2026-06-18,MU,22,53.7,Watch
2026-06-18,CRDO,23,53.6,Watch
2026-06-18,SOXX,24,53.1,Watch
2026-06-18,RIOT,25,52.9,Watch
2026-06-18,LRCX,26,52.9,Watch
2026-06-18,BLK,27,52.8,Watch
2026-06-18,XOM,28,52.6,Watch
2026-06-18,HOOD,29,52.1,Watch
2026-06-18,ASML,30,51.5,Watch
2026-06-18,PANW,31,51.0,Watch
2026-06-18,UNH,32,50.5,Watch
2026-06-18,CAT,33,50.3,Watch
2026-06-18,APP,34,50.3,Watch
2026-06-18,ASTS,35,50.1,Watch
2026-06-18,BEAM,36,49.8,Pass
2026-06-18,GS,37,49.7,Pass
2026-06-18,AFRM,38,49.5,Pass
2026-06-18,TSM,39,48.5,Pass
2026-06-18,IWM,40,48.4,Pass
2026-06-18,JPM,41,47.6,Pass
2026-06-18,GE,42,47.5,Pass
2026-06-18,CFG,43,47.4,Pass
2026-06-18,MARA,44,47.3,Pass
2026-06-18,LLY,45,46.7,Pass
2026-06-18,CRWV,46,46.6,Pass
2026-06-18,NTLA,47,46.3,Pass
2026-06-18,GEV,48,46.2,Pass
2026-06-18,CLSK,49,45.9,Pass
2026-06-18,RKLB,50,45.9,Pass
2026-06-18,DIA,51,45.8,Pass
2026-06-18,BBAI,52,45.8,Pass
2026-06-18,QS,53,45.7,Pass
2026-06-18,DDOG,54,45.6,Pass
2026-06-18,XLI,55,45.6,Pass
2026-06-18,IONQ,56,45.1,Pass
2026-06-18,ABCL,57,44.6,Pass
2026-06-18,SNOW,58,43.7,Pass
2026-06-18,RDW,59,43.5,Pass
2026-06-18,XLK,60,43.4,Pass
2026-06-18,QQQ,61,42.4,Pass
2026-06-18,ARKK,62,42.1,Pass
2026-06-18,XLF,63,41.8,Pass
2026-06-18,AMGN,64,41.7,Pass
2026-06-18,SPY,65,41.6,Pass
2026-06-18,CELH,66,41.6,Pass
2026-06-18,ETN,67,41.0,Pass
2026-06-18,NEE,68,40.9,Pass
2026-06-18,HACK,69,40.6,Pass
2026-06-18,AAPL,70,40.4,Pass
2026-06-18,V,71,40.0,Pass
2026-06-18,ABBV,72,40.0,Pass
2026-06-18,NOW,73,39.3,Pass
2026-06-18,PH,74,38.8,Pass
2026-06-18,TEM,75,38.6,Pass
2026-06-18,BRK.B,76,38.1,Pass
2026-06-18,SPIR,77,37.7,Pass
2026-06-18,KO,78,37.3,Pass
2026-06-18,GSAT,79,37.1,Pass
2026-06-18,MDB,80,36.4,Pass
2026-06-18,DUOL,81,36.4,Pass
2026-06-18,CAVA,82,36.0,Pass
2026-06-18,VRT,83,35.9,Pass
2026-06-18,AVGO,84,35.5,Pass
2026-06-18,LTBR,85,34.8,Pass
2026-06-18,SIDU,86,34.3,Pass
2026-06-18,VSAT,87,34.3,Pass
2026-06-18,WK,88,34.1,Pass
2026-06-18,LUNR,89,33.4,Pass
2026-06-18,SERV,90,32.1,Pass
2026-06-18,IBIT,91,32.0,Pass
2026-06-18,CFLT,92,32.0,Pass
2026-06-18,GOOGL,93,31.9,Pass
2026-06-18,NNE,94,31.8,Pass
2026-06-18,BKSY,95,31.8,Pass
2026-06-18,QBTS,96,30.8,Pass
2026-06-18,COIN,97,30.7,Pass
2026-06-18,NVDA,98,30.0,Pass
2026-06-18,CRSP,99,29.9,Pass
2026-06-18,PL,100,29.8,Pass
2026-06-18,RGTI,101,28.3,Pass
2026-06-18,AMZN,102,27.5,Pass
2026-06-18,RDDT,103,27.3,Pass
2026-06-18,ROCK,104,26.7,Pass
2026-06-18,XLE,105,25.1,Pass
2026-06-18,ESTC,106,23.7,Pass
2026-06-18,UPST,107,22.5,Pass
2026-06-18,ENVX,108,22.3,Pass
2026-06-18,COST,109,21.9,Pass
2026-06-18,QUBT,110,21.4,Pass
2026-06-18,WMT,111,21.4,Pass
2026-06-18,ELF,112,21.3,Pass
2026-06-18,CCJ,113,21.0,Pass
2026-06-18,ORCL,114,20.0,Pass
2026-06-18,MP,115,18.0,Pass
2026-06-18,XLY,116,17.8,Pass
2026-06-18,NU,117,17.5,Pass
2026-06-18,IGV,118,17.4,Pass
2026-06-18,MA,119,16.7,Pass
2026-06-18,JOBY,120,15.4,Pass
2026-06-18,CMG,121,15.1,Pass
2026-06-18,S,122,14.9,Pass
2026-06-18,MSFT,123,14.9,Pass
2026-06-18,MCD,124,13.8,Pass
2026-06-18,DIS,125,13.6,Pass
2026-06-18,SES,126,13.3,Pass
2026-06-18,MNDY,127,13.2,Pass
2026-06-18,EH,128,12.2,Pass
2026-06-18,OKLO,129,11.7,Pass
2026-06-18,ACHR,130,11.7,Pass
2026-06-18,SPOT,131,11.5,Pass
2026-06-18,CRM,132,11.4,Pass
2026-06-18,PATH,133,10.2,Pass
2026-06-18,URNM,134,10.0,Pass
2026-06-18,META,135,9.7,Pass
2026-06-18,RXRX,136,9.5,Pass
2026-06-18,SMR,137,9.5,Pass
2026-06-18,NFLX,138,8.7,Pass
2026-06-18,ADBE,139,8.6,Pass
2026-06-18,AVAV,140,8.0,Pass
2026-06-18,ZS,141,7.3,Pass
2026-06-18,ISRG,142,7.1,Pass
2026-06-18,PLTR,143,7.0,Pass
2026-06-18,UEC,144,7.0,Pass
2026-06-18,MSTR,145,6.9,Pass
2026-06-18,HUBS,146,5.2,Pass
2026-06-18,SYM,147,4.5,Pass
2026-06-18,MVST,148,4.5,Pass
2026-06-18,KTOS,149,3.6,Pass
2026-06-18,ABB,150,0.0,Pass
2026-06-18,FREY,151,0.0,Pass
2026-06-17,APLD,1,84.5,Buy Candidate
2026-06-17,FTNT,2,82.4,Buy Candidate
2026-06-17,IRDM,3,79.8,Buy Candidate
2026-06-17,CRWD,4,75.9,Buy Candidate
2026-06-17,GEV,5,73.5,Watch
2026-06-17,SATL,6,70.3,Watch
2026-06-17,RTX,7,64.0,Watch
2026-06-17,MDA,8,62.3,Watch
2026-06-17,AI,9,56.8,Watch
2026-06-17,SOFI,10,56.6,Watch
2026-06-17,GTLB,11,56.1,Watch
2026-06-17,HUT,12,55.0,Watch
2026-06-17,AMAT,13,54.5,Watch
2026-06-17,ARM,14,54.3,Watch
2026-06-17,AMD,15,54.0,Watch
2026-06-17,MU,16,53.6,Watch
2026-06-17,CRDO,17,53.4,Watch
2026-06-17,SOXX,18,53.0,Watch
2026-06-17,RIOT,19,52.8,Watch
2026-06-17,LRCX,20,52.8,Watch
2026-06-17,KLAC,21,52.7,Watch
2026-06-17,HOOD,22,52.1,Watch
2026-06-17,SMH,23,51.9,Watch
2026-06-17,ASML,24,51.5,Watch
2026-06-17,BLK,25,51.1,Watch
2026-06-17,PANW,26,50.6,Watch
2026-06-17,APP,27,50.2,Watch
2026-06-17,BEAM,28,49.6,Pass
2026-06-17,UNH,29,49.5,Pass
2026-06-17,CAT,30,49.5,Pass
2026-06-17,AFRM,31,49.4,Pass
2026-06-17,GS,32,49.0,Pass
2026-06-17,TSM,33,48.5,Pass
2026-06-17,IWM,34,48.2,Pass
2026-06-17,JPM,35,47.6,Pass
2026-06-17,MARA,36,47.2,Pass
2026-06-17,CRWV,37,46.3,Pass
2026-06-17,GE,38,46.2,Pass
2026-06-17,NTLA,39,46.2,Pass
2026-06-17,RKLB,40,45.9,Pass
2026-06-17,LLY,41,45.9,Pass
2026-06-17,CLSK,42,45.8,Pass
2026-06-17,CFG,43,45.8,Pass
2026-06-17,DIA,44,45.8,Pass
2026-06-17,BBAI,45,45.8,Pass
2026-06-17,QS,46,45.6,Pass
2026-06-17,DDOG,47,45.3,Pass
2026-06-17,XLI,48,45.2,Pass
2026-06-17,IONQ,49,45.1,Pass
2026-06-17,ABCL,50,44.5,Pass
2026-06-17,QCOM,51,44.2,Pass
2026-06-17,SNOW,52,43.7,Pass
2026-06-17,RDW,53,43.2,Pass
2026-06-17,XLK,54,43.2,Pass
2026-06-17,TJX,55,42.3,Pass
2026-06-17,ARKK,56,42.1,Pass
2026-06-17,QQQ,57,41.9,Pass
2026-06-17,XLF,58,41.5,Pass
2026-06-17,CELH,59,41.5,Pass
2026-06-17,AMGN,60,41.4,Pass
2026-06-17,ETN,61,41.0,Pass
2026-06-17,HACK,62,40.5,Pass
2026-06-17,SPY,63,40.2,Pass
2026-06-17,AAPL,64,40.0,Pass
2026-06-17,NEE,65,40.0,Pass
2026-06-17,HIMS,66,39.2,Pass
2026-06-17,V,67,38.9,Pass
2026-06-17,ABBV,68,38.7,Pass
2026-06-17,NOW,69,38.6,Pass
2026-06-17,TEM,70,38.5,Pass
2026-06-17,BRK.B,71,38.0,Pass
2026-06-17,PH,72,37.7,Pass
2026-06-17,SPIR,73,37.3,Pass
2026-06-17,GSAT,74,37.0,Pass
2026-06-17,MDB,75,36.3,Pass
2026-06-17,DUOL,76,36.2,Pass
2026-06-17,KO,77,36.2,Pass
2026-06-17,CAVA,78,35.5,Pass
2026-06-17,VRT,79,35.4,Pass
2026-06-17,LTBR,80,34.7,Pass
2026-06-17,ISRG,81,34.7,Pass
2026-06-17,SIDU,82,34.3,Pass
2026-06-17,AVGO,83,34.3,Pass
2026-06-17,VSAT,84,34.1,Pass
2026-06-17,WK,85,34.1,Pass
2026-06-17,LUNR,86,33.3,Pass
2026-06-17,NET,87,33.1,Pass
2026-06-17,ADBE,88,32.4,Pass
2026-06-17,IBIT,89,32.0,Pass
2026-06-17,CFLT,90,32.0,Pass
2026-06-17,NNE,91,31.8,Pass
2026-06-17,GOOGL,92,31.7,Pass
2026-06-17,BKSY,93,31.2,Pass
2026-06-17,QBTS,94,30.9,Pass
2026-06-17,COIN,95,30.6,Pass
