Ticker,Company,Direction,Setup Class,Setup Type,Market Regime,Long Trade Quality Score,Short Trade Quality Score,Current Price,Entry Price,Stop Loss,Target 1,Target 2,Target 3,Risk Per Share,Reward Per Share,Position Size,Position Cost,Max Dollar Risk,Portfolio Size,Max Risk %,Shares To Sell At Target 1,Shares To Sell At Target 2,Shares To Sell At Target 3,Risk/Reward T1,Risk/Reward T2,Risk/Reward T3,Trade Quality Score,Timeframe,Estimated Holding Period,Expected Time to Target 1,Expected Time to Target 2,Expected Time to Target 3,Holding Period Confidence,Bull Thesis,Bear Thesis,Catalysts,Key Support,Key Resistance,Invalidation,Take-Profit Notes,Notes,Final Research Score,Technical Score,Catalyst Score,Relative Strength Score,Relative Volume,ATR,Support,Resistance,Rejected Reasons,Shares To Cover At Target 1,Shares To Cover At Target 2,Shares To Cover At Target 3,Short Sale Warnings
APLD,APLD,LONG,Watchlist,Pullback,Bullish,79.7,9.1,45.57,45.57,37.12,54.02,62.47,70.92,8.45,16.9,118.0,5377.26,1000.0,100000.0,1.0,38.0,38.0,42.0,1.0,2.0,3.0,79.7,Swing trade: 2-8 weeks,2-3 weeks,3-6 trading days,1-3 weeks,2-3 weeks,Medium Confidence,"Pullback entry aligned with final research score 84.5, relative strength score 92.6, and catalyst score 8.0.","Setup weakens if price loses key moving-average support, relative volume fades, or the catalyst score of 8.0 is not confirmed by follow-through.",Detected catalyst strength score: 8.0/10.,37.69,50.24,Invalidate on a decisive close below stop loss 37.12 or 50-day moving average 39.18 or recent support 37.69.,"Sell 33% at Target 1, 33% at Target 2, and the remaining shares at Target 3. After Target 1, move stop to breakeven. After Target 2, trail stop using 20-day moving average (44.65) or 1.5 ATR below current price (39.30).","Research-only setup. No brokerage connection, no trade placement, and no guaranteed outcome.",84.5,85.0,8.0,92.6,0.8,4.18,37.69,50.24,Relative volume below 1.2,,,,
FTNT,FTNT,LONG,Strong Candidate,Pullback,Bullish,81.2,11.3,144.14,144.14,111.7,176.58,209.02,241.46,32.44,64.88,30.0,4324.2,1000.0,100000.0,1.0,9.0,9.0,12.0,1.0,2.0,3.0,81.2,Swing trade: 2-8 weeks,4-7 weeks,1-3 weeks,3-4 weeks,4-7 weeks,Medium Confidence,"Pullback entry aligned with final research score 82.4, relative strength score 93.9, and catalyst score 7.0.","Setup weakens if price loses key moving-average support, relative volume fades, or the catalyst score of 7.0 is not confirmed by follow-through.",Detected catalyst strength score: 7.0/10.,129.0,150.07,Invalidate on a decisive close below stop loss 111.70 or 50-day moving average 112.83 or recent support 129.00.,"Sell 33% at Target 1, 33% at Target 2, and the remaining shares at Target 3. After Target 1, move stop to breakeven. After Target 2, trail stop using 20-day moving average (140.60) or 1.5 ATR below current price (134.28).","Research-only setup. No brokerage connection, no trade placement, and no guaranteed outcome.",82.4,89.0,7.0,93.9,1.12,6.57,129.0,150.07,Relative volume below 1.2,,,,
IRDM,IRDM,LONG,Watchlist,Pullback,Bullish,76.4,13.4,45.05,48.39,41.54,55.24,62.09,68.94,6.85,13.7,145.0,7016.55,1000.0,100000.0,1.0,47.0,47.0,51.0,1.0,2.0,3.0,76.4,Swing trade: 2-8 weeks,2-3 weeks,3-6 trading days,1-3 weeks,2-3 weeks,Medium Confidence,"Pullback entry aligned with final research score 79.6, relative strength score 94.6, and catalyst score 8.0.","Setup weakens if price loses key moving-average support, relative volume fades, or the catalyst score of 8.0 is not confirmed by follow-through.",Detected catalyst strength score: 8.0/10.,42.17,53.83,Invalidate on a decisive close below stop loss 41.54 or 50-day moving average 43.07 or recent support 42.17.,"Sell 33% at Target 1, 33% at Target 2, and the remaining shares at Target 3. After Target 1, move stop to breakeven. After Target 2, trail stop using 20-day moving average (47.98) or 1.5 ATR below current price (38.81).","Research-only setup. No brokerage connection, no trade placement, and no guaranteed outcome.",79.6,71.8,8.0,94.6,0.94,4.16,42.17,53.83,Relative volume below 1.2,,,,
CRWD,CRWD,LONG,Reject,Pullback,Bullish,70.2,8.3,682.96,691.63,554.78,828.48,965.33,1102.18,136.85,273.7,7.0,4841.41,1000.0,100000.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,70.2,Swing trade: 2-8 weeks,3-6 weeks,1-3 weeks,2-4 weeks,3-6 weeks,High Confidence,"Pullback entry aligned with final research score 75.7, relative strength score 85.1, and catalyst score 8.0.","Setup weakens if price loses key moving-average support, relative volume fades, or the catalyst score of 8.0 is not confirmed by follow-through.",Detected catalyst strength score: 8.0/10.,617.74,785.66,Invalidate on a decisive close below stop loss 554.78 or 50-day moving average 560.39 or recent support 617.74.,"Sell 33% at Target 1, 33% at Target 2, and the remaining shares at Target 3. After Target 1, move stop to breakeven. After Target 2, trail stop using 20-day moving average (687.53) or 1.5 ATR below current price (621.60).","Research-only setup. No brokerage connection, no trade placement, and no guaranteed outcome.",75.7,66.8,8.0,85.1,0.54,40.91,617.74,785.66,Relative volume below 1.2,,,,
SATL,SATL,LONG,Reject,Pullback,Bullish,65.6,17.5,6.17,8.25,5.94,10.56,12.87,15.18,2.31,4.62,432.0,3564.0,1000.0,100000.0,1.0,142.0,142.0,148.0,1.0,2.0,3.0,65.6,Swing trade: 2-8 weeks,2-4 weeks,4-7 trading days,1-3 weeks,2-4 weeks,Medium Confidence,"Pullback entry aligned with final research score 70.3, relative strength score 96.6, and catalyst score 8.0.","Setup weakens if price loses key moving-average support, relative volume fades, or the catalyst score of 8.0 is not confirmed by follow-through.",Detected catalyst strength score: 8.0/10.,6.03,9.54,Invalidate on a decisive close below stop loss 5.94 or 50-day moving average 7.69 or recent support 6.03.,"Sell 33% at Target 1, 33% at Target 2, and the remaining shares at Target 3. After Target 1, move stop to breakeven. After Target 2, trail stop using 20-day moving average (8.16) or 1.5 ATR below current price (4.85).","Research-only setup. No brokerage connection, no trade placement, and no guaranteed outcome.",70.3,47.5,8.0,96.6,0.6,0.88,6.03,9.54,Relative volume below 1.2; Trade quality score below threshold,,,,
RTX,RTX,LONG,Reject,Breakout,Bullish,65.5,33.8,192.58,193.94,169.96,217.92,241.9,265.88,23.98,47.96,41.0,7951.54,1000.0,100000.0,1.0,13.0,13.0,15.0,1.0,2.0,3.0,65.5,Swing trade: 2-8 weeks,5-8 weeks,1-3 weeks,3-6 weeks,5-8 weeks,Medium Confidence,"Breakout entry aligned with final research score 64.0, relative strength score 23.3, and catalyst score 8.0.","Setup weakens if price loses key moving-average support, relative volume fades, or the catalyst score of 8.0 is not confirmed by follow-through.",Detected catalyst strength score: 8.0/10.,172.55,193.46,Invalidate on a decisive close below stop loss 169.96 or 50-day moving average 181.85 or recent support 172.55.,"Sell 33% at Target 1, 33% at Target 2, and the remaining shares at Target 3. After Target 1, move stop to breakeven. After Target 2, trail stop using 20-day moving average (179.60) or 1.5 ATR below current price (185.23).","Research-only setup. No brokerage connection, no trade placement, and no guaranteed outcome.",64.0,68.4,8.0,23.3,1.07,4.9,172.55,193.46,Relative volume below 1.2; Trade quality score below threshold,,,,
MDA,MDA,LONG,Reject,Pullback,Bullish,66.4,20.1,38.99,41.35,35.05,47.65,53.95,60.25,6.3,12.6,158.0,6533.3,1000.0,100000.0,1.0,52.0,52.0,54.0,1.0,2.0,3.0,66.4,Swing trade: 2-8 weeks,2-3 weeks,3-6 trading days,1-3 weeks,2-3 weeks,Low Confidence,"Pullback entry aligned with final research score 62.3, relative strength score 54.1, and catalyst score 8.0.","Setup weakens if price loses key moving-average support, relative volume fades, or the catalyst score of 8.0 is not confirmed by follow-through.",Detected catalyst strength score: 8.0/10.,35.58,47.1,Invalidate on a decisive close below stop loss 35.05 or 50-day moving average 36.66 or recent support 35.58.,"Sell 33% at Target 1, 33% at Target 2, and the remaining shares at Target 3. After Target 1, move stop to breakeven. After Target 2, trail stop using 20-day moving average (41.06) or 1.5 ATR below current price (34.50).","Research-only setup. No brokerage connection, no trade placement, and no guaranteed outcome.",62.3,48.7,8.0,54.1,1.5,2.99,35.58,47.1,Trade quality score below threshold,,,,
SOFI,SOFI,LONG,Reject,Pullback,Bullish,62.9,38.9,17.42,17.42,15.42,19.42,21.42,23.42,2.0,4.0,499.0,8692.58,1000.0,100000.0,1.0,164.0,164.0,171.0,1.0,2.0,3.0,62.9,Swing trade: 2-8 weeks,1-3 weeks,2-5 trading days,1-3 weeks,1-3 weeks,High Confidence,"Pullback entry aligned with final research score 56.5, relative strength score 34.8, and catalyst score 7.0.","Setup weakens if price loses key moving-average support, relative volume fades, or the catalyst score of 7.0 is not confirmed by follow-through.",Detected catalyst strength score: 7.0/10.,15.65,18.8,Invalidate on a decisive close below stop loss 15.42 or 50-day moving average 16.91 or recent support 15.65.,"Sell 33% at Target 1, 33% at Target 2, and the remaining shares at Target 3. After Target 1, move stop to breakeven. After Target 2, trail stop using 20-day moving average (16.74) or 1.5 ATR below current price (15.81).","Research-only setup. No brokerage connection, no trade placement, and no guaranteed outcome.",56.5,53.9,7.0,34.8,1.51,1.07,15.65,18.8,Trade quality score below threshold,,,,
AI,AI,LONG,Reject,Pullback,Bullish,56.3,23.7,10.31,10.55,9.3,11.8,13.05,14.3,1.25,2.5,800.0,8440.0,1000.0,100000.0,1.0,264.0,264.0,272.0,1.0,2.0,3.0,56.3,Swing trade: 2-8 weeks,1-3 weeks,2-5 trading days,1-3 weeks,1-3 weeks,Medium Confidence,"Pullback entry aligned with final research score 56.3, relative strength score 62.8, and catalyst score 7.0.","Setup weakens if price loses key moving-average support, relative volume fades, or the catalyst score of 7.0 is not confirmed by follow-through.",Detected catalyst strength score: 7.0/10.,9.92,11.82,Invalidate on a decisive close below stop loss 9.30 or 50-day moving average 9.59 or recent support 9.92.,"Sell 33% at Target 1, 33% at Target 2, and the remaining shares at Target 3. After Target 1, move stop to breakeven. After Target 2, trail stop using 20-day moving average (10.47) or 1.5 ATR below current price (9.06).","Research-only setup. No brokerage connection, no trade placement, and no guaranteed outcome.",56.3,39.3,7.0,62.8,0.75,0.83,9.92,11.82,Relative volume below 1.2; Trade quality score below threshold,,,,
GTLB,GTLB,LONG,Reject,Pullback,Bullish,57.6,25.9,26.47,29.12,24.9,33.34,37.56,41.78,4.22,8.44,236.0,6872.32,1000.0,100000.0,1.0,77.0,77.0,82.0,1.0,2.0,3.0,57.6,Swing trade: 2-8 weeks,2-3 weeks,3-6 trading days,1-3 weeks,2-3 weeks,High Confidence,"Pullback entry aligned with final research score 56.1, relative strength score 57.4, and catalyst score 7.0.","Setup weakens if price loses key moving-average support, relative volume fades, or the catalyst score of 7.0 is not confirmed by follow-through.",Detected catalyst strength score: 7.0/10.,26.35,34.06,Invalidate on a decisive close below stop loss 24.90 or 50-day moving average 25.15 or recent support 26.35.,"Sell 33% at Target 1, 33% at Target 2, and the remaining shares at Target 3. After Target 1, move stop to breakeven. After Target 2, trail stop using 20-day moving average (28.92) or 1.5 ATR below current price (23.59).","Research-only setup. No brokerage connection, no trade placement, and no guaranteed outcome.",56.1,41.6,7.0,57.4,0.93,1.92,26.35,34.06,Relative volume below 1.2; Trade quality score below threshold,,,,
